Derived MCC,Combined Description,USDA Description,IRS Description,Reportable under 6041/6041A and Authority for Exception,
3781,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3781':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3782,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3782':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3783,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3783':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3784,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3784':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3785,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3785':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3786,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3786':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3787,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3787':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3788,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3788':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3789,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3789':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3790,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3790':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3835,* MASTERS ECONOMY INNS,* MASTERS ECONOMY INNS,,,"'3835':{'combined description':'* MASTERS ECONOMY INNS', 'USDA description':'* MASTERS ECONOMY INNS','IRS Description':'', 'reportable':''},"
4011,Railroads,,Railroads,No1.6041-3(c),"'4011':{'combined description':'Railroads', 'USDA description':'','IRS Description':'Railroads', 'reportable':'No1.6041-3(c)'},"
4111,"Local/Suburban Commuter Passenger Transportation & Railroads, Feries, Local Water Transportation.","Local/Suburban Commuter Passenger Transportation & Railroads, Feries, Local Water Transportation.","Commuter Transport, Ferries",Yes,"'4111':{'combined description':'Local/Suburban Commuter Passenger Transportation & Railroads, Feries, Local Water Transportation.', 'USDA description':'Local/Suburban Commuter Passenger Transportation & Railroads, Feries, Local Water Transportation.','IRS Description':'Commuter Transport, Ferries', 'reportable':'Yes'},"
4112,Passenger Railways,Passenger Railways,Passenger Railways,Yes,"'4112':{'combined description':'Passenger Railways', 'USDA description':'Passenger Railways','IRS Description':'Passenger Railways', 'reportable':'Yes'},"
4119,Ambulance Services,Ambulance Services,Ambulance Services,Yes,"'4119':{'combined description':'Ambulance Services', 'USDA description':'Ambulance Services','IRS Description':'Ambulance Services', 'reportable':'Yes'},"
4121,Taxicabs and Limousines,Taxicabs and Limousines,Taxicabs/Limousines,Yes,"'4121':{'combined description':'Taxicabs and Limousines', 'USDA description':'Taxicabs and Limousines','IRS Description':'Taxicabs/Limousines', 'reportable':'Yes'},"
4131,"Bus Lines, Including Charters, Tour Buses","Bus Lines, Including Charters, Tour Buses",Bus Lines,Yes,"'4131':{'combined description':'Bus Lines, Including Charters, Tour Buses', 'USDA description':'Bus Lines, Including Charters, Tour Buses','IRS Description':'Bus Lines', 'reportable':'Yes'},"
4214,"Motor Freight Carriers, Moving and Storage Companies, Trucking & Local/Long Distance, Delivery Services & Local",Motor Freight Carriers,"Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery Services ",No1.6041-3(c),"'4214':{'combined description':'Motor Freight Carriers, Moving and Storage Companies, Trucking & Local/Long Distance, Delivery Services & Local', 'USDA description':'Motor Freight Carriers','IRS Description':'Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery Services ', 'reportable':'No1.6041-3(c)'},"
4215,"Courier Services & Air or Ground, Freight forwarders",Courier Services & Air or Ground,Courier Services ,Yes,"'4215':{'combined description':'Courier Services & Air or Ground, Freight forwarders', 'USDA description':'Courier Services & Air or Ground','IRS Description':'Courier Services ', 'reportable':'Yes'},"
4225,"Public warehousing, Storage","Warehousing, Public","Public Warehousing and Storage - Farm Products, Refrigerated Goods, Household Goods, and Storage ",No1.6041-3(c),"'4225':{'combined description':'Public warehousing, Storage', 'USDA description':'Warehousing, Public','IRS Description':'Public Warehousing and Storage - Farm Products, Refrigerated Goods, Household Goods, and Storage ', 'reportable':'No1.6041-3(c)'},"
4411,Cruise and Steamship Lines,Cruise Lines,Cruise Lines,Yes,"'4411':{'combined description':'Cruise and Steamship Lines', 'USDA description':'Cruise Lines','IRS Description':'Cruise Lines', 'reportable':'Yes'},"
4457,Boat Rentals and Leases,Boat Rentals and Leases,Boat Rentals and Leases,Yes,"'4457':{'combined description':'Boat Rentals and Leases', 'USDA description':'Boat Rentals and Leases','IRS Description':'Boat Rentals and Leases', 'reportable':'Yes'},"
4468,"Marinas, Marine Service, and Supplies","Marinas, Marine Service, and Supplies","Marinas, Service and Supplies",Yes,"'4468':{'combined description':'Marinas, Marine Service, and Supplies', 'USDA description':'Marinas, Marine Service, and Supplies','IRS Description':'Marinas, Service and Supplies', 'reportable':'Yes'},"
4511,"Airlines, Air Carriers ( not listed elsewhere)","Airlines, Air Carriers ( not listed elsewhere)","Airlines, Air Carriers",Yes,"'4511':{'combined description':'Airlines, Air Carriers ( not listed elsewhere)', 'USDA description':'Airlines, Air Carriers ( not listed elsewhere)','IRS Description':'Airlines, Air Carriers', 'reportable':'Yes'},"
4582,"Airports, Airport Terminals, Flying Fields","Airports, Airport Terminals","Airports, Flying Fields",Yes,"'4582':{'combined description':'Airports, Airport Terminals, Flying Fields', 'USDA description':'Airports, Airport Terminals','IRS Description':'Airports, Flying Fields', 'reportable':'Yes'},"
4722,Travel Agencies and Tour Operations,Travel Agencies and Tour Operations,"Travel Agencies, Tour Operators",Yes,"'4722':{'combined description':'Travel Agencies and Tour Operations', 'USDA description':'Travel Agencies and Tour Operations','IRS Description':'Travel Agencies, Tour Operators', 'reportable':'Yes'},"
4723,Package Tour Operators (For use in Germany only),Package Tour Operators (For use in Germany only),TUI Travel - Germany,Yes,"'4723':{'combined description':'Package Tour Operators (For use in Germany only)', 'USDA description':'Package Tour Operators (For use in Germany only)','IRS Description':'TUI Travel - Germany', 'reportable':'Yes'},"
4784,Toll and Bridge Fees,Toll and Bridge Fees,Tolls/Bridge Fees,No1.6041-3(c),"'4784':{'combined description':'Toll and Bridge Fees', 'USDA description':'Toll and Bridge Fees','IRS Description':'Tolls/Bridge Fees', 'reportable':'No1.6041-3(c)'},"
4789,"Transportation Services, Not elsewhere classified)","Transportation Services, Not elsewhere classified)",Transportation Services (Not Elsewhere Classified),Yes,"'4789':{'combined description':'Transportation Services, Not elsewhere classified)', 'USDA description':'Transportation Services, Not elsewhere classified)','IRS Description':'Transportation Services (Not Elsewhere Classified)', 'reportable':'Yes'},"
4812,Telecommunications Equipment including telephone sales,Telecommunications Equipment including telephone sales,Telecommunication Equipment and Telephone Sales,No1.6041-3(c),"'4812':{'combined description':'Telecommunications Equipment including telephone sales', 'USDA description':'Telecommunications Equipment including telephone sales','IRS Description':'Telecommunication Equipment and Telephone Sales', 'reportable':'No1.6041-3(c)'},"
4814,"Fax services, Telecommunication Services",Fax services,Telecommunication Services,No1.6041-3(c),"'4814':{'combined description':'Fax services, Telecommunication Services', 'USDA description':'Fax services','IRS Description':'Telecommunication Services', 'reportable':'No1.6041-3(c)'},"
4815,VisaPhone,VisaPhone,,,"'4815':{'combined description':'VisaPhone', 'USDA description':'VisaPhone','IRS Description':'', 'reportable':''},"
4816,Computer Network Services,,Computer Network Services,No1.6041-3(c),"'4816':{'combined description':'Computer Network Services', 'USDA description':'','IRS Description':'Computer Network Services', 'reportable':'No1.6041-3(c)'},"
4821,Telegraph services,Telegraph services,Telegraph Services,No1.6041-3(c),"'4821':{'combined description':'Telegraph services', 'USDA description':'Telegraph services','IRS Description':'Telegraph Services', 'reportable':'No1.6041-3(c)'},"
4829,Money Orders & Wire Transfer,Money Orders & Wire Transfer,"Wires, Money Orders",No1.6041-3(c),"'4829':{'combined description':'Money Orders & Wire Transfer', 'USDA description':'Money Orders & Wire Transfer','IRS Description':'Wires, Money Orders', 'reportable':'No1.6041-3(c)'},"
4899,Cable and other pay television (previously Cable Services),Cable and other pay television (previously Cable Services),"Cable, Satellite, and Other Pay Television and Radio",No1.6041-3(c),"'4899':{'combined description':'Cable and other pay television (previously Cable Services)', 'USDA description':'Cable and other pay television (previously Cable Services)','IRS Description':'Cable, Satellite, and Other Pay Television and Radio', 'reportable':'No1.6041-3(c)'},"
4900,"Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities",Utilities ,No1.6041-3(c),"'4900':{'combined description':'Electric, Gas, Sanitary and Water Utilities', 'USDA description':'Electric, Gas, Sanitary and Water Utilities','IRS Description':'Utilities ', 'reportable':'No1.6041-3(c)'},"
5013,Motor vehicle supplies and new parts,Motor vehicle supplies and new parts,Motor Vehicle Supplies and New Parts,No1.6041-3(c),"'5013':{'combined description':'Motor vehicle supplies and new parts', 'USDA description':'Motor vehicle supplies and new parts','IRS Description':'Motor Vehicle Supplies and New Parts', 'reportable':'No1.6041-3(c)'},"
5021,Office and Commercial Furniture,Office and Commercial Furniture,Office and Commercial Furniture,No1.6041-3(c),"'5021':{'combined description':'Office and Commercial Furniture', 'USDA description':'Office and Commercial Furniture','IRS Description':'Office and Commercial Furniture', 'reportable':'No1.6041-3(c)'},"
5039,"Construction Materials, Not Elsewhere Classified","Construction Materials, Not Elsewhere Classified",Construction Materials (Not Elsewhere Classified),No1.6041-3(c),"'5039':{'combined description':'Construction Materials, Not Elsewhere Classified', 'USDA description':'Construction Materials, Not Elsewhere Classified','IRS Description':'Construction Materials (Not Elsewhere Classified)', 'reportable':'No1.6041-3(c)'},"
5044,"Office, Photographic, Photocopy, and Microfilm Equipment","Office, Photographic, Photocopy, and Microfilm Equipment","Photographic, Photocopy, Microfilm Equipment, and Supplies",No1.6041-3(c),"'5044':{'combined description':'Office, Photographic, Photocopy, and Microfilm Equipment', 'USDA description':'Office, Photographic, Photocopy, and Microfilm Equipment','IRS Description':'Photographic, Photocopy, Microfilm Equipment, and Supplies', 'reportable':'No1.6041-3(c)'},"
5045,"Computers, Computer Peripheral Equipment, Software","Computers, Computer Peripheral Equipment, Software","Computers, Peripherals, and Software",No1.6041-3(c),"'5045':{'combined description':'Computers, Computer Peripheral Equipment, Software', 'USDA description':'Computers, Computer Peripheral Equipment, Software','IRS Description':'Computers, Peripherals, and Software', 'reportable':'No1.6041-3(c)'},"
5046,"Commercial Equipment, Not Elsewhere Classified","Commercial Equipment, Not Elsewhere Classified",Commercial Equipment (Not Elsewhere Classified),No1.6041-3(c),"'5046':{'combined description':'Commercial Equipment, Not Elsewhere Classified', 'USDA description':'Commercial Equipment, Not Elsewhere Classified','IRS Description':'Commercial Equipment (Not Elsewhere Classified)', 'reportable':'No1.6041-3(c)'},"
5047,"Medical, Dental Ophthalmic, Hospital Equipment and Supplies","Medical, Dental Ophthalmic, Hospital Equipment and Supplies","Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies",No1.6041-3(c),"'5047':{'combined description':'Medical, Dental Ophthalmic, Hospital Equipment and Supplies', 'USDA description':'Medical, Dental Ophthalmic, Hospital Equipment and Supplies','IRS Description':'Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies', 'reportable':'No1.6041-3(c)'},"
5051,Metal Service Centers and Offices,Metal Service Centers and Offices,Metal Service Centers,No1.6041-3(c),"'5051':{'combined description':'Metal Service Centers and Offices', 'USDA description':'Metal Service Centers and Offices','IRS Description':'Metal Service Centers', 'reportable':'No1.6041-3(c)'},"
5065,Electrical Parts and Equipment,Electrical Parts and Equipment,Electrical Parts and Equipment,No1.6041-3(c),"'5065':{'combined description':'Electrical Parts and Equipment', 'USDA description':'Electrical Parts and Equipment','IRS Description':'Electrical Parts and Equipment', 'reportable':'No1.6041-3(c)'},"
5072,Hardware Equipment and Supplies,Hardware Equipment and Supplies,"Hardware, Equipment, and Supplies",No1.6041-3(c),"'5072':{'combined description':'Hardware Equipment and Supplies', 'USDA description':'Hardware Equipment and Supplies','IRS Description':'Hardware, Equipment, and Supplies', 'reportable':'No1.6041-3(c)'},"
5074,Plumbing and Heating Equipment and Supplies,Plumbing and Heating Equipment and Supplies,"Plumbing, Heating Equipment, and Supplies",No1.6041-3(c),"'5074':{'combined description':'Plumbing and Heating Equipment and Supplies', 'USDA description':'Plumbing and Heating Equipment and Supplies','IRS Description':'Plumbing, Heating Equipment, and Supplies', 'reportable':'No1.6041-3(c)'},"
5085,"Industrial Supplies, Not Elsewhere Classified","Industrial Supplies, Not Elsewhere Classified",Industrial Supplies (Not Elsewhere Classified),No1.6041-3(c),"'5085':{'combined description':'Industrial Supplies, Not Elsewhere Classified', 'USDA description':'Industrial Supplies, Not Elsewhere Classified','IRS Description':'Industrial Supplies (Not Elsewhere Classified)', 'reportable':'No1.6041-3(c)'},"
5094,"Precious Stones and Metals, Watches and Jewelry","Precious Stones and Metals, Watches and Jewelry","Precious Stones and Metals, Watches and Jewelry",No1.6041-3(c),"'5094':{'combined description':'Precious Stones and Metals, Watches and Jewelry', 'USDA description':'Precious Stones and Metals, Watches and Jewelry','IRS Description':'Precious Stones and Metals, Watches and Jewelry', 'reportable':'No1.6041-3(c)'},"
5099,"Durable Goods, Not Elsewhere Classified","Durable Goods, Not Elsewhere Classified",Durable Goods (Not Elsewhere Classified),No1.6041-3(c),"'5099':{'combined description':'Durable Goods, Not Elsewhere Classified', 'USDA description':'Durable Goods, Not Elsewhere Classified','IRS Description':'Durable Goods (Not Elsewhere Classified)', 'reportable':'No1.6041-3(c)'},"
5111,"Stationery, Office Supplies, Printing, and Writing Paper","Stationery, Office Supplies, Printing, and Writing Paper","Stationary, Office Supplies, Printing and Writing Paper",No1.6041-3(c),"'5111':{'combined description':'Stationery, Office Supplies, Printing, and Writing Paper', 'USDA description':'Stationery, Office Supplies, Printing, and Writing Paper','IRS Description':'Stationary, Office Supplies, Printing and Writing Paper', 'reportable':'No1.6041-3(c)'},"
5122,"Drugs, Drug Proprietors, and Druggist\'s Sundries","Drugs, Drug Proprietors, and Druggist\'s Sundries","Drugs, Drug Proprietaries, and Druggist Sundries",No1.6041-3(c),"'5122':{'combined description':'Drugs, Drug Proprietors, and Druggist\'s Sundries', 'USDA description':'Drugs, Drug Proprietors, and Druggist\'s Sundries','IRS Description':'Drugs, Drug Proprietaries, and Druggist Sundries', 'reportable':'No1.6041-3(c)'},"
5131,"Piece Goods, Notions, and Other Dry Goods","Piece Goods, Notions, and Other Dry Goods","Piece Goods, Notions, and Other Dry Goods",No1.6041-3(c),"'5131':{'combined description':'Piece Goods, Notions, and Other Dry Goods', 'USDA description':'Piece Goods, Notions, and Other Dry Goods','IRS Description':'Piece Goods, Notions, and Other Dry Goods', 'reportable':'No1.6041-3(c)'},"
5137,Men\'s Women\'s and Children\'s Uniforms and Commercial Clothing,Men\'s Women\'s and Children\'s Uniforms and Commercial Clothing,"Uniforms, Commercial Clothing",No1.6041-3(c),"'5137':{'combined description':'Men\'s Women\'s and Children\'s Uniforms and Commercial Clothing', 'USDA description':'Men\'s Women\'s and Children\'s Uniforms and Commercial Clothing','IRS Description':'Uniforms, Commercial Clothing', 'reportable':'No1.6041-3(c)'},"
5139,Commercial Footwear,Commercial Footwear,Commercial Footwear,No1.6041-3(c),"'5139':{'combined description':'Commercial Footwear', 'USDA description':'Commercial Footwear','IRS Description':'Commercial Footwear', 'reportable':'No1.6041-3(c)'},"
5169,"Chemicals and Allied Products, Not Elsewhere Classified","Chemicals and Allied Products, Not Elsewhere Classified",Chemicals and Allied Products (Not Elsewhere Classified),No1.6041-3(c),"'5169':{'combined description':'Chemicals and Allied Products, Not Elsewhere Classified', 'USDA description':'Chemicals and Allied Products, Not Elsewhere Classified','IRS Description':'Chemicals and Allied Products (Not Elsewhere Classified)', 'reportable':'No1.6041-3(c)'},"
5172,Petroleum and Petroleum Products,Petroleum and Petroleum Products,Petroleum and Petroleum Products,No1.6041-3(c),"'5172':{'combined description':'Petroleum and Petroleum Products', 'USDA description':'Petroleum and Petroleum Products','IRS Description':'Petroleum and Petroleum Products', 'reportable':'No1.6041-3(c)'},"
5192,"Books, Periodicals, and Newspapers","Books, Periodicals, and Newspapers","Books, Periodicals, and Newspapers",No1.6041-3(c),"'5192':{'combined description':'Books, Periodicals, and Newspapers', 'USDA description':'Books, Periodicals, and Newspapers','IRS Description':'Books, Periodicals, and Newspapers', 'reportable':'No1.6041-3(c)'},"
5193,"Florists\' Supplies, Nursery Stock and Flowers","Florists\' Supplies, Nursery Stock and Flowers","Florists Supplies, Nursery Stock, and Flowers",No1.6041-3(c),"'5193':{'combined description':'Florists\' Supplies, Nursery Stock and Flowers', 'USDA description':'Florists\' Supplies, Nursery Stock and Flowers','IRS Description':'Florists Supplies, Nursery Stock, and Flowers', 'reportable':'No1.6041-3(c)'},"
5198,"Paints, Varnishes, and Supplies","Paints, Varnishes, and Supplies","Paints, Varnishes, and Supplies",No1.6041-3(c),"'5198':{'combined description':'Paints, Varnishes, and Supplies', 'USDA description':'Paints, Varnishes, and Supplies','IRS Description':'Paints, Varnishes, and Supplies', 'reportable':'No1.6041-3(c)'},"
5199,"Non-durable Goods, Not Elsewhere Classified","Non-durable Goods, Not Elsewhere Classified",Nondurable Goods (Not Elsewhere Classified),No1.6041-3(c),"'5199':{'combined description':'Non-durable Goods, Not Elsewhere Classified', 'USDA description':'Non-durable Goods, Not Elsewhere Classified','IRS Description':'Nondurable Goods (Not Elsewhere Classified)', 'reportable':'No1.6041-3(c)'},"
5200,Home Supply Warehouse Stores,Home Supply Warehouse Stores,Home Supply Warehouse Stores,No1.6041-3(c),"'5200':{'combined description':'Home Supply Warehouse Stores', 'USDA description':'Home Supply Warehouse Stores','IRS Description':'Home Supply Warehouse Stores', 'reportable':'No1.6041-3(c)'},"
5211,Lumber and Building Materials Stores,Lumber and Building Materials Stores,"Lumber, Building Materials Stores",No1.6041-3(c),"'5211':{'combined description':'Lumber and Building Materials Stores', 'USDA description':'Lumber and Building Materials Stores','IRS Description':'Lumber, Building Materials Stores', 'reportable':'No1.6041-3(c)'},"
5231,"Glass, Paint, and Wallpaper Stores",Wallpaper Stores,"Glass, Paint, and Wallpaper Stores",No1.6041-3(c),"'5231':{'combined description':'Glass, Paint, and Wallpaper Stores', 'USDA description':'Wallpaper Stores','IRS Description':'Glass, Paint, and Wallpaper Stores', 'reportable':'No1.6041-3(c)'},"
